brand,category,type,sentiment
NVIDIA,dlss_only,comment,-0.5461
NVIDIA,dlss_only,comment,0.3987
NVIDIA,dlss_only,comment,0.4466
NVIDIA,dlss_only,comment,0.128
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4199
NVIDIA,dlss_only,comment,-0.1779
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.128
NVIDIA,dlss_only,comment,-0.7067
NVIDIA,dlss_only,comment,0.7717
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2732
NVIDIA,dlss_only,comment,0.6199
NVIDIA,dlss_only,comment,-0.5106
NVIDIA,dlss_only,comment,0.4019
NVIDIA,dlss_only,comment,0.2617
NVIDIA,dlss_only,comment,-0.3612
NVIDIA,dlss_only,comment,0.5562
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,0.7932
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.5423
NVIDIA,dlss_only,comment,-0.25
NVIDIA,dlss_only,post,0.4019
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2763
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.1027
NVIDIA,dlss_only,comment,0.717
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0516
NVIDIA,dlss_only,comment,0.9102
NVIDIA,dlss_only,comment,-0.4571
NVIDIA,dlss_only,comment,-0.5574
NVIDIA,dlss_only,comment,0.2235
NVIDIA,dlss_only,comment,0.5165
NVIDIA,dlss_only,comment,0.6908
NVIDIA,dlss_only,comment,-0.6486
NVIDIA,dlss_only,comment,0.5532
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.4588
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.925
NVIDIA,dlss_only,comment,-0.8322
NVIDIA,dlss_only,comment,-0.34
NVIDIA,dlss_only,comment,0.7184
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2263
NVIDIA,dlss_only,comment,-0.1027
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.5267
NVIDIA,dlss_only,post,-0.2514
NVIDIA,dlss_only,comment,-0.5423
NVIDIA,dlss_only,comment,-0.4391
NVIDIA,dlss_only,comment,0.6808
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8608
NVIDIA,dlss_only,comment,0.9152
NVIDIA,dlss_only,comment,-0.1335
NVIDIA,dlss_only,comment,-0.2152
NVIDIA,dlss_only,comment,-0.4404
NVIDIA,dlss_only,comment,0.5815
NVIDIA,dlss_only,comment,-0.31
NVIDIA,dlss_only,comment,-0.4404
NVIDIA,dlss_only,comment,0.9683
NVIDIA,dlss_only,comment,0.7615
NVIDIA,dlss_only,comment,-0.3818
NVIDIA,dlss_only,comment,-0.3191
NVIDIA,dlss_only,comment,-0.3252
NVIDIA,dlss_only,comment,-0.34
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2732
NVIDIA,dlss_only,comment,0.34
NVIDIA,dlss_only,comment,0.296
NVIDIA,dlss_only,comment,0.717
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.3818
NVIDIA,dlss_only,comment,0.733
NVIDIA,dlss_only,comment,-0.0065
NVIDIA,dlss_only,comment,0.6705
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.1268
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8789
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.6249
NVIDIA,dlss_only,comment,0.5994
NVIDIA,dlss_only,comment,-0.0772
NVIDIA,dlss_only,comment,0.0516
NVIDIA,dlss_only,comment,0.7897
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2263
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.5994
NVIDIA,dlss_only,comment,-0.8442
NVIDIA,dlss_only,comment,0.0772
NVIDIA,dlss_only,comment,-0.4939
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,0.6536
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.6697
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.34
NVIDIA,dlss_only,comment,0.7184
NVIDIA,dlss_only,comment,0.5719
NVIDIA,dlss_only,comment,-0.743
NVIDIA,dlss_only,comment,-0.1027
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,0.1796
NVIDIA,dlss_only,comment,0.3182
NVIDIA,dlss_only,comment,0.3182
NVIDIA,dlss_only,comment,0.4939
NVIDIA,dlss_only,comment,0.0772
NVIDIA,dlss_only,comment,-0.5187
NVIDIA,dlss_only,comment,-0.3643
